business_id,years
--cgVkbWTiga3OYTkymKqA,1213
--cgVkbWTiga3OYTkymKqA,1314
--cjBEbXMI2obtaRHNSFrA,1516
--GM_ORV2cYS-h38DSaCLw,1516
--GM_ORV2cYS-h38DSaCLw,1617
--ujyvoQlwVoBgMYtADiLA,1213
--ujyvoQlwVoBgMYtADiLA,1314
--ujyvoQlwVoBgMYtADiLA,1415
--ujyvoQlwVoBgMYtADiLA,1516
--ujyvoQlwVoBgMYtADiLA,1617
--wIGbLEhlpl_UeAIyDmZQ,1112
--wIGbLEhlpl_UeAIyDmZQ,1213
--wIGbLEhlpl_UeAIyDmZQ,1314
--wIGbLEhlpl_UeAIyDmZQ,1415
--wIGbLEhlpl_UeAIyDmZQ,1516
-_DyjqhSWkJd2vJ8sD42Fw,1415
-_DyjqhSWkJd2vJ8sD42Fw,1516
-_xSWL2yxziy9aDHH6swBw,1415
-0dWjxaPKrXAn8urSnkSLA,1112
-0dWjxaPKrXAn8urSnkSLA,1213
-0dWjxaPKrXAn8urSnkSLA,1314
-0dWjxaPKrXAn8urSnkSLA,1415
-0dWjxaPKrXAn8urSnkSLA,1516
-1fwceFQw5NAemdPRrhP0g,1112
-1fwceFQw5NAemdPRrhP0g,1415
-1fwceFQw5NAemdPRrhP0g,1516
-1PwcnMwaztBRKah7lrWBg,1516
-1xCh7Cocn6IwFzhELyohA,1112
-1xCh7Cocn6IwFzhELyohA,1415
-1xCh7Cocn6IwFzhELyohA,1516
-1xCh7Cocn6IwFzhELyohA,1617
-2Mwx1Mp10HTLlazfCBKdA,1516
-382X_bWhJKPJKP1VfXOmw,1415
-382X_bWhJKPJKP1VfXOmw,1516
-3rvpkYkYD_N1IP4hSvD0A,0910
-3rvpkYkYD_N1IP4hSvD0A,1011
-3rvpkYkYD_N1IP4hSvD0A,1112
-3rvpkYkYD_N1IP4hSvD0A,1213
-3rvpkYkYD_N1IP4hSvD0A,1314
-3rvpkYkYD_N1IP4hSvD0A,1415
-3rvpkYkYD_N1IP4hSvD0A,1516
-40RDS4F54qiGiEQUsZaXA,1112
-54Q9l7rRbnKxrDukgNmnw,1415
-54Q9l7rRbnKxrDukgNmnw,1516
-59qsDRpa1NQLcg1y6zuPg,1112
-59qsDRpa1NQLcg1y6zuPg,1213
-59qsDRpa1NQLcg1y6zuPg,1314
-59qsDRpa1NQLcg1y6zuPg,1415
-5CXrj2zoTVcZG9NdCtJaw,1415
-5CXrj2zoTVcZG9NdCtJaw,1516
-7H-oXvCxJzuT42ky6Db0g,1213
-7H-oXvCxJzuT42ky6Db0g,1314
-7H-oXvCxJzuT42ky6Db0g,1415
-7H-oXvCxJzuT42ky6Db0g,1516
-7H-oXvCxJzuT42ky6Db0g,1617
-7PX_FOoCwktlunImRyZdg,1516
-7PX_FOoCwktlunImRyZdg,1617
-7teXSpi9nqy58WUd-8yfw,1314
-7teXSpi9nqy58WUd-8yfw,1415
-7teXSpi9nqy58WUd-8yfw,1516
-8ILwSisSrTzcyy_Z0o9oA,1415
-9BiAtHCxKI3fXDJ6On5Dg,1314
-9lOQ0Lfm8wiu8eSdUXS8A,1415
-9lOQ0Lfm8wiu8eSdUXS8A,1516
-aB6x1uPyKW-o11T8Ou2LQ,1516
-ACp6Qv866UuTD6UhTNWTA,1011
-AFMB0nVx0kVlbi73ir0Tw,1415
-AFMB0nVx0kVlbi73ir0Tw,1516
-AtzcXIwEP6yO7rM9CM9ww,0607
-AtzcXIwEP6yO7rM9CM9ww,0708
-AtzcXIwEP6yO7rM9CM9ww,0809
-AtzcXIwEP6yO7rM9CM9ww,0910
-AtzcXIwEP6yO7rM9CM9ww,1011
-AtzcXIwEP6yO7rM9CM9ww,1112
-aZJYlL8sb8UGHcFoDIqSA,1415
-aZJYlL8sb8UGHcFoDIqSA,1516
-aZJYlL8sb8UGHcFoDIqSA,1617
-BuZrOMqgO4OU_UKYSddAg,1213
-BuZrOMqgO4OU_UKYSddAg,1314
-BuZrOMqgO4OU_UKYSddAg,1415
-BuZrOMqgO4OU_UKYSddAg,1516
-BuZrOMqgO4OU_UKYSddAg,1617
-CfqFIH6rxUxJL9gR-k_XA,1011
-CfqFIH6rxUxJL9gR-k_XA,1112
-CfqFIH6rxUxJL9gR-k_XA,1213
-CfqFIH6rxUxJL9gR-k_XA,1314
-CfqFIH6rxUxJL9gR-k_XA,1415
-CfqFIH6rxUxJL9gR-k_XA,1516
-cKjQJsU73tLKFA4unJbww,1011
-cKjQJsU73tLKFA4unJbww,1112
-cKjQJsU73tLKFA4unJbww,1213
-cKjQJsU73tLKFA4unJbww,1314
-cKjQJsU73tLKFA4unJbww,1415
-d8gt_XhhUQh2CxlWJe-xw,1112
-d8gt_XhhUQh2CxlWJe-xw,1213
-d8gt_XhhUQh2CxlWJe-xw,1314
-d8gt_XhhUQh2CxlWJe-xw,1415
-d8gt_XhhUQh2CxlWJe-xw,1516
-DUQQsE2QvFIuqO5EiChQA,1415
