postal_code,Years,useful,funny,cool,Price,stars_1,stars_2,stars_3,stars_4,stars_5,stars,reviews_perc,prev_stars,stars_perc,Perc_Change_tminus1,Per_Change_t,Perc_Change_tplus1
15003,2008,2,0.5,2,3,0,0,0,0.5,0.5,4.5,0.001061008,,,0,0,-0.026315789
15003,2009,0.5,0,0.5,2,0,0,0,0.5,0.5,4.5,0.000552944,4.5,0,0,-0.026315789,0.036036036
15003,2010,1.625,0.375,0.375,2.4,0,0,0.125,0.5,0.375,4.25,0.0012749,4.5,-0.055555556,-0.026315789,0.036036036,-0.060869565
15003,2011,1.2,0.2,0.466666667,2.4,0.066666667,0,0.066666667,0.133333333,0.733333333,4.466666667,0.001285457,4.25,0.050980392,0.036036036,-0.060869565,0.027777778
15003,2012,1.8,0.45,0.8,2.111111111,0.15,0.1,0.05,0.3,0.4,3.7,0.001196315,4.466666667,-0.171641791,-0.060869565,0.027777778,0.027027027
15003,2013,0.84,0.56,0.64,1.888888889,0.08,0.12,0.04,0.32,0.44,3.92,0.001187874,3.7,0.059459459,0.027777778,0.027027027,0
15003,2014,0.764705882,0.176470588,0.205882353,2.071428571,0.058823529,0.029411765,0.058823529,0.147058824,0.705882353,4.411764706,0.001180023,3.92,0.12545018,0.027027027,0,0.01754386
15003,2015,0.901639344,0.327868852,0.475409836,2.076923077,0.098360656,0.049180328,0.032786885,0.131147541,0.68852459,4.262295082,0.00156764,4.411764706,-0.033879781,0,0.01754386,0.120689655
15003,2016,0.319444444,0.083333333,0.194444444,2.117647059,0.041666667,0.041666667,0.055555556,0.236111111,0.625,4.361111111,0.001637704,4.262295082,0.023183761,0.01754386,0.120689655,0.015384615
15003,2017,0,0,0,2.666666667,0,0.25,0,0.75,0,3.5,0.001601281,4.361111111,-0.197452229,0.120689655,0.015384615,-1
15009,2014,1,0,0,2,0,0,0,0,1,5,3.47E-05,,0.428571429,0.020833333,0.066326531,0.062200957
15009,2015,0,0,0,2,1,0,0,0,0,1,2.57E-05,5,-0.8,0.066326531,0.062200957,0.045045045
15009,2016,0,0,0,2,1,0,0,0,0,1,2.27E-05,1,0,0.062200957,0.045045045,0.004310345
15012,2015,0.333333333,0,0,1,0,0,0,0,1,5,7.71E-05,,4,-0.072289157,-0.019480519,0.066225166
15015,2011,1,0,1,2,0,0,0,0,1,5,8.57E-05,,0,0.079069767,0.00862069,-0.012820513
15015,2012,0,0.5,1,1.5,0,0,0,0.5,0.5,4.5,0.000119632,5,-0.1,0.00862069,-0.012820513,0.03030303
15015,2013,0,0,1,2,0,0,0,0,1,5,4.75E-05,4.5,0.111111111,-0.012820513,0.03030303,0.06302521
15015,2014,0,0,0,1,0,0,0,0,1,5,3.47E-05,5,0,0.03030303,0.06302521,0.051383399
