postal_code,Years,useful,funny,cool,Price,use_change,fun_change,coo_change,pri_change,use_median,fun_median,coo_median,pri_median,use_std,fun_std,coo_std,pri_std,stars_1,stars_2,stars_3,stars_4,stars_5,Star1_change,Star2_change,Star3_change,Star4_change,Star5_change,stars,sta_median,sta_std,reviews_perc,prev_stars,Star_change,NumBsqft_Rev,Bsqft_change,MedPrice_sqft(t),MedPrice_sqft_tminus1,MedPrice_sqft_tminus2,MedPrice_sqft_tplus1
15003,2009,0.5,0,0.5,2,0,0,0,0,0.5,0,0.5,2,0.707106781,0,0.707106781,0,0,0,0,0.5,0.5,0,0,0,0,0,4.5,4.5,0.707106781,0.000552944,4.5,0,0.307692308,0,55.5,57,57,57.5
15003,2010,1.625,0.375,0.375,2.4,2.25,0,-0.25,0.2,1.5,0,0,2,1.187734939,0.744023809,0.744023809,0.547722558,0,0,0.125,0.5,0.375,0,0,0,0,-0.25,4.25,4,0.707106781,0.0012749,4.5,-0.055555556,0.923076923,2,57.5,55.5,57,54
15003,2011,1.2,0.2,0.466666667,2.4,-0.261538462,-0.466666667,0.244444444,0,0,0,0,3,1.698739028,0.414039336,0.990430402,0.894427191,0.066666667,0,0.066666667,0.133333333,0.733333333,0,0,-0.466666667,-0.733333333,0.955555556,4.466666667,5,1.125462868,0.001285457,4.25,0.050980392,0.923076923,0,54,57.5,55.5,55.5
15003,2012,1.8,0.45,0.8,2.111111111,0.5,1.25,0.714285714,-0.12037037,1,0,0,2,3.994733375,1.571958216,2.894641147,0.78173596,0.15,0.1,0.05,0.3,0.4,1.25,0,-0.25,1.25,-0.454545455,3.7,4,1.490319641,0.001196315,4.466666667,-0.171641791,1.538461538,0.666666667,55.5,54,57.5,57
15003,2013,0.84,0.56,0.64,1.888888889,-0.533333333,0.244444444,-0.2,-0.105263158,0,0,0,2,2.075250989,2.042873793,1.524248449,0.78173596,0.08,0.12,0.04,0.32,0.44,-0.466666667,0.2,-0.2,0.066666667,0.1,3.92,4,1.320353488,0.001187874,3.7,0.059459459,1.692307692,0.1,57,55.5,54,57
15003,2014,0.764705882,0.176470588,0.205882353,2.071428571,-0.089635854,-0.68487395,-0.678308824,0.096638655,0.5,0,0,2,0.923065497,0.869363691,0.41042563,0.730045912,0.058823529,0.029411765,0.058823529,0.147058824,0.705882353,-0.264705882,-0.754901961,0.470588235,-0.540441176,0.604278075,4.411764706,5,1.131307826,0.001180023,3.92,0.12545018,2.307692308,0.363636364,57,57,55.5,58
15003,2015,0.901639344,0.327868852,0.475409836,2.076923077,0.179066835,0.857923497,1.309133489,0.00265252,0,0,0,2,2.15023191,1.491322807,1.747441533,0.640512615,0.098360656,0.049180328,0.032786885,0.131147541,0.68852459,0.672131148,0.672131148,-0.442622951,-0.108196721,-0.024590164,4.262295082,5,1.327926195,0.00156764,4.411764706,-0.033879781,9.384615385,3.066666667,58,57,57,65
15003,2016,0.319444444,0.083333333,0.194444444,2.117647059,-0.645707071,-0.745833333,-0.590996169,0.019607843,0,0,0,2,0.688464077,0.325013543,0.619833892,0.696630546,0.041666667,0.041666667,0.055555556,0.236111111,0.625,-0.576388889,-0.152777778,0.694444444,0.800347222,-0.092261905,4.361111111,5,1.05223512,0.001637704,4.262295082,0.023183761,11.07692308,0.180327869,65,58,57,66
15009,2015,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,2.57E-05,5,-0.8,0.040816327,0,111,104.5,98,116
15009,2016,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,2.27E-05,1,0,0.040816327,0,116,111,104.5,116.5
